Latitude,Longitude,Clone
44.89606893,-88.5134736,N1
44.8955191,-88.51272788,E2
44.8955092,-88.51196824,H1
44.89603924,-88.51119467,
44.8954993,-88.51120861,H1
44.89602933,-88.51043503,
44.89548939,-88.51044897,
44.89763925,-88.50963353,
44.8970993,-88.50964748,N1
44.89655936,-88.50966143,
44.89601942,-88.50967538,
44.89547948,-88.50968933,
44.89493953,-88.50970328,N1
44.89439959,-88.50971723,
44.89762933,-88.50887387,
44.89708939,-88.50888783,N1
44.89654944,-88.50890178,H1
44.8960095,-88.50891574,N1
44.89546956,-88.5089297,N1
44.89492962,-88.50894365,
44.89438967,-88.50895761,
44.89384973,-88.50897156,
44.89869929,-88.50808627,
44.89815935,-88.50810024,
44.89761941,-88.50811421,
44.89707946,-88.50812817,N1
44.89653952,-88.50814213,N1
44.89599958,-88.5081561,
44.89545964,-88.50817006,
44.89491969,-88.50818403,
44.89437975,-88.50819799,
44.89383981,-88.50821195,
44.89329987,-88.50822591,N5
44.8992293,-88.50731262,
44.89868936,-88.5073266,
44.89814942,-88.50734057,
44.89760948,-88.50735454,N4
44.89706953,-88.50736851,N1
44.89652959,-88.50738249,
44.89598965,-88.50739646,
44.89544971,-88.50741043,
44.89490977,-88.5074244,
44.89436983,-88.50743837,
44.89382988,-88.50745234,
44.89328994,-88.50746631,E4
44.89275,-88.50748027,E5
44.89921937,-88.50655294,
44.89867943,-88.50656692,
44.89813948,-88.5065809,N4
44.89759954,-88.50659488,
44.8970596,-88.50660886,N1
44.89651966,-88.50662284,
44.89597972,-88.50663682,E2
44.89543978,-88.50665079,
44.89489983,-88.50666477,E2
44.89435989,-88.50667875,E1
44.89381995,-88.50669272,
44.89328001,-88.5067067,
44.89274007,-88.50672068,N3
44.89974937,-88.50577927,
44.89920943,-88.50579326,
44.89866949,-88.50580724,
44.89812955,-88.50582123,
44.8975896,-88.50583522,
44.89704966,-88.5058492,N3
44.89650972,-88.50586319,
44.89596978,-88.50587717,
44.89542984,-88.50589116,
44.8948899,-88.50590514,
44.89434996,-88.50591913,
44.89381001,-88.50593311,
44.89327007,-88.50594709,
44.89273013,-88.50596108,
44.90081931,-88.50499159,
44.90027937,-88.50500558,
44.89973943,-88.50501958,
44.89919948,-88.50503357,
44.89865954,-88.50504757,
44.8981196,-88.50506156,E1
44.89757966,-88.50507555,
44.89703972,-88.50508955,
44.89649978,-88.50510354,
44.89595984,-88.50511753,
44.8954199,-88.50513153,
44.89487995,-88.50514552,
44.89434001,-88.50515951,
44.89380007,-88.5051735,
44.89326013,-88.50518749,E5
44.90080936,-88.50423188,
44.90026942,-88.50424589,
44.89972948,-88.50425989,
44.89918954,-88.50427389,
44.89864959,-88.50428789,
44.89810965,-88.50430189,
44.89756971,-88.50431589,N3
44.89702977,-88.50432989,
